D1,DS1,DpB,T1,T3,T4,P,M01,TS1,SF,YsynA,D2
229.0,1627.0,231.0,82.0,82.22,81.48,316.95,89.37,37.02,27.74,0.54,348.5
213.0,1630.0,239.0,85.0,82.16,81.58,318.31,90.52,36.63,28.97,0.56,362.0
223.0,1611.0,231.0,83.0,82.25,81.87,320.92,89.64,35.71,31.79,0.55,357.0
227.0,1631.0,238.0,86.0,82.68,81.95,321.45,89.47,34.71,30.99,0.54,363.5
172.0,1628.0,196.0,82.0,81.52,81.11,325.23,90.04,35.41,29.16,0.57,294.0
171.0,1646.0,195.0,83.0,81.96,81.46,329.38,89.0,35.06,29.89,0.55,288.0
174.0,1660.0,210.0,80.0,81.74,81.12,330.97,85.31,34.89,30.56,0.54,298.5
174.0,1625.0,198.0,80.0,81.35,80.77,325.38,85.58,37.07,29.03,0.56,303.0
187.0,1629.0,201.0,84.0,81.69,81.05,325.94,86.93,34.03,31.17,0.54,315.0
219.0,1626.0,199.0,84.0,82.22,81.85,323.63,89.59,34.39,28.5,0.55,329.0
218.0,1621.0,235.0,82.0,81.62,81.18,322.28,89.27,36.85,31.61,0.54,335.0
197.0,1616.0,220.0,82.0,81.6,80.83,324.59,87.57,35.38,28.23,0.53,339.5
201.0,1611.0,214.0,82.0,81.83,81.17,328.97,87.59,35.02,30.81,0.55,340.0
204.0,1635.0,220.0,83.0,81.94,81.17,329.82,86.93,33.55,28.32,0.59,331.5
194.0,1642.0,228.0,82.0,81.78,80.83,330.08,86.46,34.05,26.83,0.57,321.5
190.0,1621.0,219.0,83.0,81.82,80.92,330.42,86.44,34.94,27.9,0.56,330.5
212.0,1601.0,216.0,83.0,82.03,81.06,330.24,86.53,34.52,29.89,0.55,334.0
216.0,1624.0,216.0,86.0,82.54,81.6,326.38,88.46,38.42,28.04,0.57,325.5
208.0,1636.0,233.0,86.0,81.92,81.46,315.78,88.95,36.74,29.58,0.57,355.5
231.0,1633.0,226.0,86.0,82.36,81.76,314.9,90.0,37.48,30.43,0.56,363.0
261.0,1618.0,254.0,89.0,82.25,81.67,315.01,88.97,37.45,30.2,0.57,383.5
219.0,1611.0,234.0,92.0,82.13,80.71,325.58,85.57,33.62,23.8,0.56,367.0
254.0,1614.0,220.0,93.0,82.42,81.67,324.35,89.02,35.47,27.41,0.58,395.5
237.0,1624.0,210.0,90.0,82.11,81.27,316.24,89.61,36.8,28.72,0.57,348.0
265.0,1618.0,267.0,88.0,81.91,80.54,317.25,89.21,36.71,28.04,0.58,412.0
190.0,1643.0,230.0,85.0,81.25,80.84,333.87,87.5,35.99,30.34,0.57,350.5
224.0,1652.0,235.0,86.0,81.82,81.06,326.15,89.18,35.46,28.01,0.56,351.5
237.0,1639.0,264.0,87.0,82.3,81.44,326.23,90.04,35.77,27.2,0.55,396.5
194.0,1635.0,244.0,82.0,81.54,81.03,315.59,86.49,34.82,35.77,0.58,355.5
191.0,1646.0,200.0,81.0,81.69,81.33,314.41,87.13,35.73,29.73,0.56,346.5
189.0,1643.0,243.0,81.0,81.49,80.99,315.61,87.36,35.04,27.44,0.57,343.5
198.0,1646.0,264.0,81.0,81.54,80.68,315.92,86.3,34.17,30.63,0.56,376.5
239.0,1622.0,240.0,88.0,82.3,80.98,319.95,88.92,35.72,28.93,0.58,389.0
199.0,1638.0,216.0,83.0,81.74,80.88,320.71,88.72,35.39,30.62,0.58,340.0
192.0,1655.0,241.0,82.0,81.76,80.72,325.74,88.62,36.4,29.33,0.57,368.0
200.0,1646.0,237.0,83.0,82.17,81.13,323.14,88.75,34.11,30.13,0.56,365.0
252.0,1600.0,240.0,86.0,82.36,81.13,320.52,89.79,33.96,29.51,0.57,402.5
216.0,1619.0,244.0,86.0,82.17,81.24,325.09,88.25,34.59,29.52,0.56,365.0
208.0,1664.0,247.0,85.0,82.4,81.42,321.9,89.65,36.22,29.77,0.55,357.5
229.0,1662.0,252.0,86.0,82.58,81.41,316.43,91.26,35.7,29.82,0.58,391.0
236.0,1638.0,269.0,86.0,82.5,81.24,315.21,89.52,34.62,29.65,0.57,394.5
242.0,1598.0,245.0,88.0,82.17,81.2,318.66,91.69,35.97,28.36,0.55,402.0
266.0,1639.0,259.0,90.0,82.33,81.43,311.94,93.21,35.92,30.14,0.57,418.0
235.0,1649.0,250.0,88.0,82.76,82.01,316.68,92.62,33.86,32.63,0.54,379.5
248.0,1634.0,242.0,87.0,82.71,81.28,312.59,93.94,34.18,32.35,0.54,404.5
267.0,1605.0,252.0,87.0,82.26,80.83,314.92,93.59,36.0,32.4,0.55,419.5
217.0,1653.0,259.0,87.0,82.9,81.43,315.19,95.22,33.18,30.92,0.57,423.5
264.0,1630.0,276.0,88.0,82.33,80.87,314.38,93.21,32.79,31.31,0.55,430.5
209.0,1637.0,258.0,84.0,81.81,80.67,321.12,90.92,34.35,31.17,0.57,372.5
210.0,1652.0,239.0,85.0,82.04,80.74,320.14,91.45,33.74,31.67,0.58,375.5
209.0,1654.0,261.0,84.0,82.36,80.99,320.0,91.79,33.26,32.28,0.56,377.5
217.0,1657.0,248.0,85.0,82.34,81.0,319.81,91.46,33.18,29.59,0.58,383.0
265.0,1623.0,276.0,87.0,82.62,81.45,313.99,92.72,34.2,32.32,0.56,438.0
260.0,1627.0,244.0,86.0,82.93,81.98,315.58,92.29,32.82,31.53,0.55,408.5
