DS1,DpA,DpB,T1,T4,deltaT,P,M01,VA,TS1,YuntA
1618.0,205.0,224.0,85.0,82.16,0.435,320.72,90.41,412.0,36.98,0.2
1610.0,222.0,263.0,86.0,81.46,1.168,312.52,91.6,449.0,36.72,0.2
1608.0,206.0,241.0,84.0,81.52,0.978,315.28,91.63,413.0,36.1,0.2
1627.0,213.0,231.0,82.0,81.48,0.738,316.95,89.37,453.0,37.02,0.2
1630.0,239.0,239.0,85.0,81.58,0.579,318.31,90.52,433.0,36.63,0.2
1611.0,241.0,231.0,83.0,81.87,0.382,320.92,89.64,412.0,35.71,0.21
1631.0,241.0,238.0,86.0,81.95,0.737,321.45,89.47,487.0,34.71,0.2
1628.0,192.0,196.0,82.0,81.11,0.403,325.23,90.04,527.0,35.41,0.21
1646.0,179.0,195.0,83.0,81.46,0.507,329.38,89.0,497.0,35.06,0.21
1660.0,198.0,210.0,80.0,81.12,0.626,330.97,85.31,473.0,34.89,0.2
1625.0,199.0,198.0,80.0,80.77,0.572,325.38,85.58,443.0,37.07,0.2
1629.0,196.0,201.0,84.0,81.05,0.635,325.94,86.93,445.0,34.03,0.22
1626.0,197.0,199.0,84.0,81.85,0.374,323.63,89.59,447.0,34.39,0.2
1621.0,214.0,235.0,82.0,81.18,0.438,322.28,89.27,366.0,36.85,0.2
1616.0,220.0,220.0,82.0,80.83,0.756,324.59,87.57,497.0,35.38,0.2
1611.0,219.0,214.0,82.0,81.17,0.652,328.97,87.59,470.0,35.02,0.23
1635.0,217.0,220.0,83.0,81.17,0.769,329.82,86.93,480.0,33.55,0.2
1642.0,196.0,228.0,82.0,80.83,0.948,330.08,86.46,458.0,34.05,0.21
1621.0,202.0,219.0,83.0,80.92,0.902,330.42,86.44,444.0,34.94,0.22
1601.0,201.0,216.0,83.0,81.06,0.965,330.24,86.53,503.0,34.52,0.2
1624.0,203.0,216.0,86.0,81.6,0.946,326.38,88.46,483.0,38.42,0.19
1636.0,216.0,233.0,86.0,81.46,0.468,315.78,88.95,432.0,36.74,0.19
1633.0,216.0,226.0,86.0,81.76,0.609,314.9,90.0,474.0,37.48,0.19
1618.0,230.0,254.0,89.0,81.67,0.58,315.01,88.97,395.0,37.45,0.2
1611.0,217.0,234.0,92.0,80.71,1.425,325.58,85.57,436.0,33.62,0.19
1614.0,229.0,220.0,93.0,81.67,0.75,324.35,89.02,335.0,35.47,0.2
1624.0,203.0,210.0,90.0,81.27,0.84,316.24,89.61,445.0,36.8,0.2
1618.0,231.0,267.0,88.0,80.54,1.372,317.25,89.21,390.0,36.71,0.19
1643.0,190.0,230.0,85.0,80.84,0.764,333.87,87.5,495.0,35.99,0.18
1652.0,210.0,235.0,86.0,81.06,0.756,326.15,89.18,470.0,35.46,0.19
1639.0,238.0,264.0,87.0,81.44,0.866,326.23,90.04,379.0,35.77,0.18
1635.0,229.0,244.0,82.0,81.03,0.519,315.59,86.49,496.0,34.82,0.19
1646.0,230.0,200.0,81.0,81.33,0.418,314.41,87.13,501.0,35.73,0.18
1643.0,213.0,243.0,81.0,80.99,0.503,315.61,87.36,465.0,35.04,0.18
1646.0,247.0,264.0,81.0,80.68,0.856,315.92,86.3,520.0,34.17,0.19
1622.0,241.0,240.0,88.0,80.98,1.315,319.95,88.92,411.0,35.72,0.18
1638.0,230.0,216.0,83.0,80.88,0.857,320.71,88.72,519.0,35.39,0.18
1655.0,239.0,241.0,82.0,80.72,1.036,325.74,88.62,452.0,36.4,0.18
1646.0,223.0,237.0,83.0,81.13,1.044,323.14,88.75,492.0,34.11,0.19
1600.0,219.0,240.0,86.0,81.13,1.227,320.52,89.79,406.0,33.96,0.18
1619.0,220.0,244.0,86.0,81.24,0.93,325.09,88.25,445.0,34.59,0.17
1664.0,219.0,247.0,85.0,81.42,0.98,321.9,89.65,400.0,36.22,0.18
1662.0,243.0,252.0,86.0,81.41,1.167,316.43,91.26,442.0,35.7,0.17
1638.0,227.0,269.0,86.0,81.24,1.252,315.21,89.52,376.0,34.62,0.18
1598.0,237.0,245.0,88.0,81.2,0.971,318.66,91.69,353.0,35.97,0.19
1639.0,264.0,259.0,90.0,81.43,0.901,311.94,93.21,304.0,35.92,0.17
1649.0,237.0,250.0,88.0,82.01,0.743,316.68,92.62,405.0,33.86,0.17
1634.0,254.0,242.0,87.0,81.28,1.427,312.59,93.94,455.0,34.18,0.18
1605.0,262.0,252.0,87.0,80.83,1.435,314.92,93.59,350.0,36.0,0.18
1653.0,204.0,259.0,87.0,81.43,1.478,315.19,95.22,444.0,33.18,0.16
1630.0,260.0,276.0,88.0,80.87,1.464,314.38,93.21,341.0,32.79,0.17
1637.0,240.0,258.0,84.0,80.67,1.146,321.12,90.92,425.0,34.35,0.19
1652.0,239.0,239.0,85.0,80.74,1.301,320.14,91.45,475.0,33.74,0.17
1654.0,237.0,261.0,84.0,80.99,1.383,320.0,91.79,439.0,33.26,0.16
1657.0,252.0,248.0,85.0,81.0,1.342,319.81,91.46,422.0,33.18,0.17
1623.0,254.0,276.0,87.0,81.45,1.172,313.99,92.72,335.0,34.2,0.18
1627.0,244.0,244.0,86.0,81.98,0.949,315.58,92.29,430.0,32.82,0.19
1620.0,236.0,246.0,83.0,81.18,0.689,316.17,90.54,416.0,33.2,0.18
1620.0,226.0,188.0,84.0,80.87,0.838,317.85,89.84,538.0,32.27,0.18
1641.0,203.0,158.0,84.0,81.29,0.58,322.53,90.14,357.0,35.67,0.19
1625.0,230.0,234.0,86.0,81.45,0.963,319.27,91.69,355.0,35.97,0.17
1620.0,242.0,242.0,86.0,81.73,0.998,317.63,92.82,409.0,33.54,0.19
1628.0,218.0,242.0,84.0,81.69,0.705,321.04,90.36,401.0,34.04,0.19
1622.0,222.0,235.0,84.0,81.53,0.649,314.21,91.31,418.0,34.13,0.18
1624.0,211.0,230.0,85.0,81.53,0.585,324.14,89.31,480.0,33.77,0.18
1639.0,213.0,222.0,84.0,81.39,0.765,327.02,88.78,452.0,34.38,0.18
1653.0,196.0,210.0,86.0,81.33,1.119,324.98,90.14,542.0,34.45,0.18
1635.0,223.0,245.0,84.0,81.48,0.628,319.58,91.79,358.0,35.7,0.18
1636.0,211.0,222.0,84.0,80.87,1.198,320.61,90.61,492.0,34.2,0.17
1619.0,146.0,225.0,82.0,80.95,1.027,326.81,89.11,587.0,33.75,0.17
1626.0,174.0,241.0,84.0,80.96,0.714,321.94,90.26,460.0,34.91,0.18
1645.0,163.0,190.0,83.0,80.94,1.058,332.07,88.19,531.0,33.8,0.16
1632.0,210.0,242.0,86.0,81.25,0.78,321.29,91.75,452.0,34.08,0.18
1638.0,200.0,242.0,86.0,81.47,0.619,324.31,91.24,476.0,33.18,0.18
1636.0,219.0,245.0,84.0,81.24,0.631,316.43,92.66,400.0,34.33,0.17
1626.0,269.0,271.0,85.0,80.88,1.353,314.99,93.11,391.0,34.26,0.17
