D1,DS1,DpB,T1,T3,T4,P,M01,M02,TS1,YuntB
223.0,1611.0,231.0,83.0,82.25,81.87,320.92,89.64,61.5,35.71,0.2
227.0,1631.0,238.0,86.0,82.68,81.95,321.45,89.47,60.15,34.71,0.21
172.0,1628.0,196.0,82.0,81.52,81.11,325.23,90.04,47.42,35.41,0.19
171.0,1646.0,195.0,83.0,81.96,81.46,329.38,89.0,46.07,35.06,0.2
174.0,1660.0,210.0,80.0,81.74,81.12,330.97,85.31,46.0,34.89,0.19
174.0,1625.0,198.0,80.0,81.35,80.77,325.38,85.58,48.97,37.07,0.21
187.0,1629.0,201.0,84.0,81.69,81.05,325.94,86.93,49.75,34.03,0.21
219.0,1626.0,199.0,84.0,82.22,81.85,323.63,89.59,52.76,34.39,0.19
218.0,1621.0,235.0,82.0,81.62,81.18,322.28,89.27,62.6,36.85,0.2
197.0,1616.0,220.0,82.0,81.6,80.83,324.59,87.57,54.24,35.38,0.2
201.0,1611.0,214.0,82.0,81.83,81.17,328.97,87.59,64.05,35.02,0.21
204.0,1635.0,220.0,83.0,81.94,81.17,329.82,86.93,59.26,33.55,0.19
194.0,1642.0,228.0,82.0,81.78,80.83,330.08,86.46,53.21,34.05,0.21
190.0,1621.0,219.0,83.0,81.82,80.92,330.42,86.44,60.18,34.94,0.23
212.0,1601.0,216.0,83.0,82.03,81.06,330.24,86.53,61.37,34.52,0.21
216.0,1624.0,216.0,86.0,82.54,81.6,326.38,88.46,81.12,38.42,0.2
208.0,1636.0,233.0,86.0,81.92,81.46,315.78,88.95,76.12,36.74,0.2
231.0,1633.0,226.0,86.0,82.36,81.76,314.9,90.0,77.4,37.48,0.2
261.0,1618.0,254.0,89.0,82.25,81.67,315.01,88.97,79.76,37.45,0.2
219.0,1611.0,234.0,92.0,82.13,80.71,325.58,85.57,75.77,33.62,0.18
254.0,1614.0,220.0,93.0,82.42,81.67,324.35,89.02,78.9,35.47,0.19
237.0,1624.0,210.0,90.0,82.11,81.27,316.24,89.61,73.05,36.8,0.19
265.0,1618.0,267.0,88.0,81.91,80.54,317.25,89.21,70.49,36.71,0.2
190.0,1643.0,230.0,85.0,81.25,80.84,333.87,87.5,69.75,35.99,0.19
224.0,1652.0,235.0,86.0,81.82,81.06,326.15,89.18,74.89,35.46,0.18
237.0,1639.0,264.0,87.0,82.3,81.44,326.23,90.04,81.2,35.77,0.17
194.0,1635.0,244.0,82.0,81.54,81.03,315.59,86.49,72.71,34.82,0.18
191.0,1646.0,200.0,81.0,81.69,81.33,314.41,87.13,63.05,35.73,0.17
189.0,1643.0,243.0,81.0,81.49,80.99,315.61,87.36,69.26,35.04,0.19
198.0,1646.0,264.0,81.0,81.54,80.68,315.92,86.3,83.23,34.17,0.18
239.0,1622.0,240.0,88.0,82.3,80.98,319.95,88.92,90.71,35.72,0.19
199.0,1638.0,216.0,83.0,81.74,80.88,320.71,88.72,53.6,35.39,0.17
192.0,1655.0,241.0,82.0,81.76,80.72,325.74,88.62,51.45,36.4,0.18
200.0,1646.0,237.0,83.0,82.17,81.13,323.14,88.75,52.8,34.11,0.17
252.0,1600.0,240.0,86.0,82.36,81.13,320.52,89.79,65.2,33.96,0.17
216.0,1619.0,244.0,86.0,82.17,81.24,325.09,88.25,59.53,34.59,0.18
208.0,1664.0,247.0,85.0,82.4,81.42,321.9,89.65,55.17,36.22,0.17
229.0,1662.0,252.0,86.0,82.58,81.41,316.43,91.26,59.36,35.7,0.18
236.0,1638.0,269.0,86.0,82.5,81.24,315.21,89.52,73.12,34.62,0.18
242.0,1598.0,245.0,88.0,82.17,81.2,318.66,91.69,79.76,35.97,0.18
266.0,1639.0,259.0,90.0,82.33,81.43,311.94,93.21,72.2,35.92,0.18
235.0,1649.0,250.0,88.0,82.76,82.01,316.68,92.62,74.87,33.86,0.17
