DpB,T1,T2,T4,M01,M02,VA,Ds,YseB
233.0,92.0,82.79,80.98,88.85,60.99,429.0,1493.0,0.17
261.0,89.0,82.5,80.83,87.7,81.02,451.0,1498.0,0.13
242.0,87.0,81.91,80.28,86.27,56.61,494.0,1486.0,0.16
246.0,90.0,82.58,80.69,85.77,69.04,484.0,1496.0,0.13
223.0,87.0,82.43,80.7,89.87,72.18,544.0,1489.0,0.14
143.0,86.0,82.55,81.04,86.81,88.74,531.0,1500.0,0.16
244.0,89.0,82.62,80.63,91.4,81.38,447.0,1499.0,0.12
254.0,89.0,82.45,80.58,87.93,73.25,490.0,1489.0,0.23
234.0,88.0,82.49,80.82,86.07,63.08,435.0,1499.0,0.17
154.0,88.0,82.7,80.84,87.14,61.63,555.0,1503.0,0.15
261.0,89.0,82.9,80.62,86.53,72.38,486.0,1489.0,0.14
240.0,88.0,83.01,81.3,89.93,74.89,396.0,1500.0,0.12
255.0,85.0,82.73,81.24,86.24,78.37,480.0,1495.0,0.15
276.0,87.0,82.68,81.17,90.09,93.64,377.0,1492.0,0.18
153.0,87.0,82.8,81.24,88.64,90.68,453.0,1530.0,0.22
274.0,89.0,82.7,81.02,89.31,65.44,466.0,1517.0,0.13
239.0,92.0,82.77,80.75,86.37,70.02,527.0,1517.0,0.1
275.0,87.0,83.14,81.56,88.88,81.41,424.0,1521.0,0.14
303.0,86.0,82.66,81.09,88.12,93.89,397.0,1508.0,0.12
280.0,87.0,82.84,81.06,88.28,64.78,473.0,1503.0,0.12
293.0,89.0,83.09,81.4,90.71,72.42,425.0,1524.0,0.15
281.0,87.0,82.44,80.92,89.56,92.77,392.0,1507.0,0.15
279.0,89.0,82.88,81.08,89.33,72.67,483.0,1502.0,0.15
274.0,87.0,82.6,80.87,87.82,74.22,439.0,1507.0,0.15
283.0,87.0,82.69,80.67,86.77,64.28,504.0,1515.0,0.14
281.0,86.0,82.63,80.7,88.47,63.33,435.0,1504.0,0.18
